Company,TypeName,Inches,touch,Ram (gb),mem ssd gb,mem flash gb,mem HDD gb,OpSys,Weight (kg),Price_euros (Output)
0,1,13.3,0,8,128,0,0,0,1.37,1339.69
0,1,13.3,0,8,0,128,0,0,1.34,898.94
1,0,15.6,0,8,256,0,0,1,1.86,575
0,1,15.4,0,16,512,0,0,0,1.83,2537.45
0,1,13.3,0,8,256,0,0,0,1.37,1803.6
2,0,15.6,0,4,0,0,500,2,2.1,400
0,1,15.4,0,16,0,256,0,3,2.04,2139.97
0,1,13.3,0,8,0,256,0,0,1.34,1158.7
3,1,14,0,16,512,0,0,2,1.3,1495
2,1,14,0,8,256,0,0,2,1.6,770
1,0,15.6,0,4,0,0,500,1,1.86,393.9
1,0,15.6,0,4,0,0,500,1,1.86,344.99
0,1,15.4,0,16,256,0,0,0,1.83,2439.97
4,0,15.6,0,4,256,0,0,2,2.2,498.9
0,1,12,0,8,256,0,0,0,0.92,1262.4
0,1,13.3,0,8,256,0,0,0,1.37,1518.55
4,0,15.6,0,8,256,0,0,2,2.2,745
0,1,15.4,0,16,512,0,0,0,1.83,2858
5,0,15.6,0,8,0,0,1024,1,2.2,499
4,1,13.3,1,8,128,0,0,2,1.22,979
3,5,11.6,0,2,0,32,0,2,0.98,191.9
5,2,15.6,0,8,128,0,1024,2,2.5,999
1,0,15.6,0,4,0,0,500,1,1.86,258
4,3,13.3,1,8,256,0,0,2,1.62,819
1,1,15.6,0,8,256,0,0,2,1.91,659
4,0,15.6,0,4,0,0,1024,2,2.3,418.64
0,1,13.3,0,8,0,128,0,3,1.35,1099
4,0,15.6,0,8,256,0,0,2,2.2,800
4,1,15.6,0,8,256,0,0,2,1.88,1298
1,0,17.3,0,8,0,0,1024,2,2.5,896
6,0,15.6,0,4,0,64,0,2,1.89,244.99
3,0,14,0,2,0,32,0,2,1.65,199
1,0,17.3,0,4,0,0,500,2,2.71,439
4,1,13.3,1,16,512,0,0,2,1.2,1869
0,1,13.3,0,8,0,256,0,3,1.35,998
5,0,14,0,4,0,64,0,2,1.44,249
2,0,15.6,0,4,0,0,1024,4,2.1,367
4,0,17.3,0,8,128,0,1024,2,2.8,979
1,0,15.6,0,4,0,0,1024,2,1.86,488.69
1,0,15.6,0,8,256,0,0,2,2.1,879
3,0,15.6,0,4,0,0,1024,4,2,389
4,2,15.6,0,16,256,0,1024,2,2.65,1499
3,0,15.6,0,8,0,0,1024,4,2.3,522.99
2,0,15.6,0,4,256,0,0,2,2.2,682
4,3,17.3,1,12,0,0,1024,2,2.77,999
0,1,13.3,0,8,256,0,0,0,1.37,1419
5,0,15.6,0,4,128,0,0,1,2.2,369
3,2,17.3,0,8,256,0,1024,2,3.2,1299
4,0,15.6,0,4,256,0,0,2,2.3,639
3,0,17.3,0,4,0,0,1024,2,2.8,466
5,3,10.1,1,4,0,64,0,5,0.69,319
2,0,15.6,0,8,256,0,0,2,2.2,841
1,0,15.6,0,4,256,0,0,2,1.86,398.49
1,0,13.3,0,8,512,0,0,2,1.49,1103
2,0,15.6,0,4,0,0,1024,2,2.4,384
4,0,15.6,0,8,256,0,0,2,2.13,767.8
1,0,15.6,0,4,128,0,0,2,1.91,439
3,0,15.6,0,4,256,0,0,2,2,586.19
7,2,17.3,0,16,256,0,2048,2,2.43,2449
3,0,15.6,0,4,256,0,0,4,2,415
4,0,17.3,0,16,256,0,2048,2,2.8,1299
4,1,14,0,8,256,0,0,2,1.7,879
5,0,14,0,8,256,0,0,1,1.7,599
3,0,14,0,8,256,0,0,2,1.4,941
1,0,15.6,0,8,256,0,0,2,1.86,690
3,1,15.6,0,16,512,0,0,2,1.8,1983
1,0,15.6,0,4,0,0,500,2,1.86,438.69
1,0,14,0,4,32,0,0,2,1.44,229
5,0,15.6,0,4,0,0,1024,2,1.9,549
3,2,17.3,0,12,0,0,1024,4,3,949
8,1,13.5,1,4,128,0,0,6,1.252,1089
4,1,13.3,0,8,256,0,0,2,1.4,955
4,0,15.6,0,8,256,0,0,2,2.2,870
7,2,17.3,0,8,128,0,1024,2,2.7,1095
2,0,14,0,8,0,0,1024,2,2.1,389
3,2,15.6,0,8,0,0,1024,2,2.2,949
5,0,15.6,0,8,0,0,2048,1,2.2,519
4,0,15.6,0,8,128,0,1024,2,2.02,855
